,Common Name,Binomial name,Locations,Last record,Biggest Threat,Kingdom,Phylum,Class,Order,Family,Genus,Subphylum,Subfamily,Species,Tribe,Subtribe,Clade,Suborder,Infraclass,Declared extinct,Subspecies,Subgenus
0,Page's crane,Grus pagei,"Rancho La Brea,California, United States",10250-9180 BCE,Undetermined.[2],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
1,La Brea owl,Oraristix brea,"Southern California, United States",10250-9180 BCE,Undetermined.[2],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
2,Errant vulture,Neogyps errans,"California, United States",10210-9850 BCE,Undetermined.[2],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
3,Eurasian cave lion,Panthera spelaea,NorthernEurasiaandBeringia,10045-9905 BCE,Undetermined.[3],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
4,Dow's puffin,Fratercula dowi,"Channel Islands of California, United States",10035-9845 BCE,Undetermined.[2],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
5,Highland gomphothere,Cuvieronius hyodon,Northern and centralAndes[4],9790 BCE,Hunting?[5],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
6,Patagonian panther,Panthera onca mesembrina,Patagonia,9705-9545,Undetermined.[6],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
7,Toronto subway deer,Torontoceros hypnogeos,"Toronto, Canada",9690-9040 BCE,Undetermined.[7],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
8,Western bison,Bison occidentalis,North America; EasternSiberiaandJapan?,9590-9250 BCE,Possiblyhybridizationwithancient bisonresulting in modernAmerican bison.[8],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
9,Dwarf pronghorn,Capromeryx minor,Western United Statesandnorthern Mexico,9580-8860 BCE,Undetermined.[9],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
10,Chinese cave hyena,Crocuta crocuta ultima,East Asia,9550 BCE,Undetermined.[10],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
11,Shrub-ox,Euceratherium collinum,Southwestern North America,9550 BCE,Undetermined.[11],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
12,American mountain deer,Odocoileus lucasi,Rocky Mountains,9550 BCE,Hunting?[12],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
13,Stock's pronghorn,Stockoceros sp.,Mexico andSouthwestern United States,9550 BCE,Hunting?[12],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
14,Southeastern giant tortoise,Hesperotestudo crassiscutata,Southern United States,c. 9515 BCE,Undetermined.[13],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
15,Sardinian dhole,Cynotherium sardous,CorsicaandSardinia,9500-9300 BCE,Undetermined.[14],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
16,American lion,Panthera atrox,North America;WesternSouth America?,9460-9350 BCE,Undetermined.[3],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
17,Macrauchenia,Macrauchenia patachonica,Southwestern South America,9381-9281 BCE,Hunting.[16],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
18,Long-nosed peccary,Mylohyus nasutus,Eastern United States,9350 BCE,Habitat lossand competition with theAmerican black bear.[12],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
19,Jefferson's ground sloth,Megalonyx jeffersonii,North America,9190-8870 BCE,Undetermined.[12],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
20,Pygmy mammoth,Mammuthus exilis,"Channel Islands of California, United States",9130-9030 BCE,Undetermined.[6],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
21,Californian turkey,Meleagris californica,"California, United States",9100-8380 BCE,Undetermined.[2],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
22,Wilson's tortoise,Hesperotestudo wilsoni,Southwestern United States,c. 9050 BCE,Undetermined.[13],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
23,Ryukyu tortoise,Manouria oyamai,"Ryukyu, Japan",c. 9050 BCE,Undetermined.[13],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
24,Cypriot genet,Genetta plesictoides,Cyprus,9050 BCE,Undetermined.[18],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
25,Miyako roe deer,Capreolus tokunagai,"Miyako Island, Ryukyu, Japan",9050-8050 BCE,Undetermined.[18],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
26,Asphalt stork,Ciconia maltha,Americas,9050-8050 BCE,Undetermined.[2],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
27,Miyako long-tailed rat,Diplothrix miyakoensis,"Miyako Island, Ryukyu, Japan",9050-8050 BCE,Undetermined.[18],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
28,Merriam's teratorn,Teratornis merriami,"California, United States",9050-8050 BCE,Undetermined.[2],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
29,North American short-faced bear,Arctodus simus,North America,8995-8845 BCE,Competition with thegrizzly bear.[12],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
30,Mexican horse,Equus conversidens,North America,8965-8875 BCE,Hunting.[6],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
31,Flat-headed peccary,Platygonus compressus,North America,8850-8750 BCE,Possibly vegetation changes induced byclimate changeand competition with the American black bear.[12],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
32,Schneider's duck,Anas schneideri,"Converse County,Wyoming, United States",8800-8300 BCE,Undetermined.[2],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
33,Large-billed blackbird,Euphagus magnirostris,North America,8800-8300 BCE,Undetermined.[2],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
34,Argentinian short-faced bear,Arctotherium tarijense,Argentina[21],8470-8320 BCE,Undetermined.[6],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
35,Stag-moose,Cervalces scotti,Eastern United States,8430-8130 BCE,Undetermined.[8],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
36,Woodland muskox,Bootherium bombifrons,North America,8420 BCE,Undetermined.[9],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
37,Shasta ground sloth,Nothrotheriops shastensis,Southwestern United States,8350-7550 BCE,Hunting.[22],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
38,Giant Cape zebra,Equus capensis,Southern Africa,8340-3950 BCE,Reduction ofgrasslandsafter the end of theLast Glacial Period.[23],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
39,Giant pika,Ochotona whartoni,Northern North America;Eastern Siberia?,8301-7190 BCE,Undetermined.[14],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
40,Giant beaver,Castoroides ohiensis,North America,8250-8150 BCE,Undetermined.[20],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
41,Vero tapir,Tapirus veroensis,Southern United States,8200-7660 BCE,Hunting.[12],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
42,Harrington's mountain goat,Oreamnos harringtoni,Southern Rocky Mountains,8100 BCE,Hunting.[22],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
43,Little South American horse,Hippidion saldiasi,Eastern South America[25],8059 BCE,Hunting.[16],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
44,Woolly rhinoceros,Coelodonta antiquitatis,Northern Eurasia,8050-7650 BCE,Shrinking of themammoth steppedue to warmer and wetter climate conditions.[27],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
45,South American palmate-antlered deer,Morenelaphus brachyceros,TemperateSouth America,8050-5845 BCE,Undetermined.[28],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,†MorenelaphusCarette 1922,Vertebrata,Capreolinae or Odocoileinae,,,,,,,,,
46,South American pointed-antlered deer,Antifer ultra,River Plateand centralChile,c. 7950 BCE,Undetermined.[29],Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Siphonorhis,,,S. daiquiri,,,,,,,,
47,North American pampathere,Holmesina septentrionalis,Southeastern United States,7930 BCE,Undetermined.[12],Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Siphonorhis,,,S. daiquiri,,,,,,,,
48,Cuvier's small ground sloth,Catonyx cuvieri,Eastern South America,7830-7430 BCE,Undetermined.[6][14],Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Siphonorhis,,,S. daiquiri,,,,,,,,
49,Panamerican ground sloth,Eremotherium laurillardi,Southern United States to Brazil,7800-7740 BCE,Undetermined.[31],Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Siphonorhis,,,S. daiquiri,,,,,,,,
50,North American sabertooth,Smilodon fatalis,Southern North America and northern South America,7615-7305 BCE,Prey loss.[12],Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Siphonorhis,,,S. daiquiri,,,,,,,,
51,Asian straight-tusked elephant,Palaeoloxodon namadicus,Southand east Asia,7330-6250 BCE,Undetermined.[32],Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Siphonorhis,,,S. daiquiri,,,,,,,,
52,South American sabertooth,Smilodon populator,Eastern South America,7330-7030 BCE,Competition with human hunters.[16],Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Siphonorhis,,,S. daiquiri,,,,,,,,
53,American camel,Camelops hesternus,Western North America,7250-5330 BCE,Hunting.[12],Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Siphonorhis,,,S. daiquiri,,,,,,,,
54,Scott's horse,Equus scotti,Western North America,7250-6750 BCE,Hunting?,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Siphonorhis,,,S. daiquiri,,,,,,,,
55,Chilean scelidodont,Scelidodon chiliensis,Western South America[33],7160-6760 BCE,Undetermined.[14],Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Siphonorhis,,,S. daiquiri,,,,,,,,
56,Columbian mammoth,Mammuthus columbi,"Northern Mexico, western and southern United States",7100-6300 BCE,Hunting.[12],Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Siphonorhis,,,S. daiquiri,,,,,,,,
57,Giant ghost-faced bat,Mormoops magna,Cuba,7043-6503 BCE,Undetermined.[14],Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Siphonorhis,,,S. daiquiri,,,,,,,,
58,Greater Cuban nesophontes,Nesophontes major,Cuba,7043-6507 BCE,Undetermined.[14],Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Siphonorhis,,,S. daiquiri,,,,,,,,
59,Cuban pauraque,Siphonorhis daiquiri,Cuba,7043-6507 BCE,Undetermined.[14],Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Siphonorhis,,,S. daiquiri,,,,,,,,
60,Long-legged llama,Hemiauchenia macrocephala,North andCentral America,6833-6321 BCE,Hunting.[12],Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
61,Glossothere,Glossotherium sp.,South America,6810-6650 BCE,Hunting.[16],Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
62,Lowland gomphothere,Notiomastodon platensis,South America[4],6810-6650 BCE,Hunting?[12],Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
63,Darwin's mylodon,Mylodon darwini,Pampas and Patagonia,6689 BCE,Hunting.[16],Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
64,Large South American horse,Equus neogeus,South America[34],6660-4880,Hunting.[16],Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
65,Common glyptodont,Glyptodon sp.,Eastern South America,6660-4880 BCE,Hunting.[16],Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
66,Brazilian glyptodont,Hoplophorus euphractus,Eastern Brazil,6660-4880 BCE,Undetermined.[14],Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
67,Stout-legged llama,Palaeolama mirifica,"North, Central, and South America",6660-4880 BCE,Hunting.[16],Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
68,giant armadillo,Propraopus sulcatus,Eastern South America[35],6660-4880 BCE,Undetermined.[14],Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
69,Narrow-headed ground sloth,Scelidotherium leptocephalum,Southern South America,6585-6403 BCE,Hunting?[12],Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
70,Pampean giant armadillo,Eutatus seguini,Northern Argentina andUruguay[37],6389-6060 BCE,Undetermined.[36],Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
71,Yukon horse,Equus lambei,EasternBeringia,6150-5750 BCE,Reduction of grasslands after the end of the Last Glacial Period.[27],Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
72,Giant hartebeest,Megalotragus priscus,Southern Africa;Eastern Africa?,6130-3950 BCE,Reduction of grasslands after the end of the Last Glacial Period.[23],Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
73,Dire wolf,Aenocyon dirus,North America and western South America,6050-5050 BCE,Competition with thegray wolf.[12],Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
74,American mastodon,Mammut americanum,North America,6050-5050 BCE,"Possiblyhabitat fragmentationas a result of climate change, and competition with themoose.[12]",Animalia,Chordata,Mammalia,Proboscidea,†Mammutidae,"†MammutBlumenbach, 1799",,,,,,,,,,,
75,Kambuaya's triok,Dactylopsila kambuayai,New Guinea,5941-5596 BCE,Undetermined.[14],Animalia,Chordata,Mammalia,Pilosa,†Megatheriidae,"†MegatheriumCuvier, 1796",,†Megatheriinae,,†Megatheriini,†Megatheriina,,,,,,
76,New Guinea greater glider,Petauroides ayamaruensis,New Guinea,5941-5596 BCE,Undetermined.[14],Animalia,Chordata,Mammalia,Pilosa,†Megatheriidae,"†MegatheriumCuvier, 1796",,†Megatheriinae,,†Megatheriini,†Megatheriina,,,,,,
77,Bond's springbok,Antidorcas bondi,Southern Africa,5740-5500 BCE,Reduction of grasslands after the end of the Last Glacial Period.[23],Animalia,Chordata,Mammalia,Pilosa,†Megatheriidae,"†MegatheriumCuvier, 1796",,†Megatheriinae,,†Megatheriini,†Megatheriina,,,,,,
78,Sardinian giant deer,Praemegaceros cazioti,Corsica and Sardinia[39],5550 BCE,Undetermined.[40],Animalia,Chordata,Mammalia,Pilosa,†Megatheriidae,"†MegatheriumCuvier, 1796",,†Megatheriinae,,†Megatheriini,†Megatheriina,,,,,,
79,caprine,?Makapaniasp.,South Africanmountains,5483-5221 BCE,Reduction of grasslands after the end of the Last Glacial Period.[23],Animalia,Chordata,Mammalia,Pilosa,†Megatheriidae,"†MegatheriumCuvier, 1796",,†Megatheriinae,,†Megatheriini,†Megatheriina,,,,,,
80,Ibiza rail,Rallus eivissensis,"Ibiza, Spain",5295-4848 BCE,"Undetermined, but presumably a result of human colonization.[41]",Animalia,Chordata,Mammalia,Pilosa,†Megatheriidae,"†MegatheriumCuvier, 1796",,†Megatheriinae,,†Megatheriini,†Megatheriina,,,,,,
81,Ancient bison,Bison antiquus,North America,5271-5131 BCE,Possibly hibridization with western bison resulting in modern American bison.[8],Animalia,Chordata,Mammalia,Pilosa,†Megatheriidae,"†MegatheriumCuvier, 1796",,†Megatheriinae,,†Megatheriini,†Megatheriina,,,,,,
82,Giant ground sloth,Megatherium americanum,Temperate South America and the Andes,5270-4310 BCE,Hunting.[16],Animalia,Chordata,Mammalia,Pilosa,†Megatheriidae,"†MegatheriumCuvier, 1796",,†Megatheriinae,,†Megatheriini,†Megatheriina,,,,,,
83,Irish elk,Megaloceros giganteus,Europe and southern Siberia,4901-4831 BCE,"Reduction of grasslands after the end of the Last Glacial Period, and possibly hunting.[45]",Animalia,Chordata,Mammalia,Perissodactyla,Equidae,"EquusLinnaeus, 1758",,,,Equini,,,,,,,
84,North African horse,Equus algericus,Maghreb,4855-4733 BCE,Aridification.[23],Animalia,Chordata,Mammalia,Perissodactyla,Equidae,"EquusLinnaeus, 1758",,,,Equini,,,,,,,
85,Majorcan giant dormouse,Hypnomys morpheus,"Mallorca, Spain",4840-4690 BCE,Possibly disease spread by introducedrodents.[46],Animalia,Chordata,Mammalia,Perissodactyla,Equidae,"EquusLinnaeus, 1758",,,,Equini,,,,,,,
86,Club-tailed glyptodont,Doedicurus clavicaudatus,South AmericanPampas,4765-4445 BCE,Undetermined.[43],Animalia,Chordata,Mammalia,Perissodactyla,Equidae,"EquusLinnaeus, 1758",,,,Equini,,,,,,,
87,Algerian giant deer,Megaceroides algericus,Northern Maghreb,4691-4059 BCE,Possibly habitat fragmentation.[48],Animalia,Chordata,Mammalia,Perissodactyla,Equidae,"EquusLinnaeus, 1758",,,,Equini,,,,,,,
88,Toxodont,Toxodon platensis,South America,4650-1450 BCE,Undetermined.[14],Animalia,Chordata,Mammalia,Perissodactyla,Equidae,"EquusLinnaeus, 1758",,,,Equini,,,,,,,
89,Jamaican caracara,Caracara tellustris,Jamaica,4570 BCE - 130 CE,Undetermined.[49],Animalia,Chordata,Mammalia,Perissodactyla,Equidae,"EquusLinnaeus, 1758",,,,Equini,,,,,,,
90,North African aurochs,Bos primigenius africanus,North Africa,c. 4000 BCE,Aridification.Domestic descendantssurvive in captivity.[23],Animalia,Chordata,Mammalia,Perissodactyla,Equidae,"EquusLinnaeus, 1758",,,,Equini,,,,,,,
91,North African zebra,Equus mauritanicus,North Africa,c. 4000 BCE,Aridification.[23],Animalia,Chordata,Mammalia,Perissodactyla,Equidae,"EquusLinnaeus, 1758",,,,Equini,,,,,,,
92,Steppe bison,Bison priscus,Northern Eurasia and North America,3628-3377 BCE,Hunting[51]and habitat loss due to climate change.[27],Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,†Nesiotites,,,†N. hidalgo,,,,,,,,
93,Malagasy crowned eagle,Stephanoaetus mahery,Central and southernMadagascar,3570-3630 BCE,Possibly natural aridification or habitat degradation and prey loss caused by human activity.[53],Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,†Nesiotites,,,†N. hidalgo,,,,,,,,
94,Kauaʻi mole duck,Talpanas lippa,"Kaua'i,Hawaii, United States",3540-3355 BCE,Undetermined.[54],Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,†Nesiotites,,,†N. hidalgo,,,,,,,,
95,Radofilao's sloth lemur,Babakotia radofilai,Northern coast of Madagascar,3340-2890 BCE,Undetermined.[55],Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,†Nesiotites,,,†N. hidalgo,,,,,,,,
96,Smaller Cuban ground sloth,Parocnus brownii,Cuba,3290-2730 BCE,Hunting.[56],Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,†Nesiotites,,,†N. hidalgo,,,,,,,,
97,Giant long-horned buffalo,Syncerus antiquus,"North Africa; south, east, andcentral Africa(Pleistocene)",3060-2470 BCE,Aridification and competition with domestic cattle for water and pastures.[14],Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,†Nesiotites,,,†N. hidalgo,,,,,,,,
98,Sardinian shrew,Asoriculus similis,"Sardinia, Italy",3050 BCE,Undetermined.[18],Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,†Nesiotites,,,†N. hidalgo,,,,,,,,
99,Buka Island mosaic-tailed rat,Melomys spechti,"Buka Island,Papua New Guinea",3050 BCE,Undetermined.[18],Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,†Nesiotites,,,†N. hidalgo,,,,,,,,
100,Buka Island solomys,Solomys spriggsarum,"Buka Island, Papua New Guinea",3050 BCE,Undetermined.[18],Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,†Nesiotites,,,†N. hidalgo,,,,,,,,
101,Tilos dwarf elephant,Palaeoloxodon tiliensis,"Tilos, Greece",3040-1840 BCE,Undetermined.[57],Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,†Nesiotites,,,†N. hidalgo,,,,,,,,
102,Balearic giant shrew,Nesiotites hidalgo,"Gymnesian Islands, Spain",3030-2690 BCE,Possibly disease spread by introduced rodents.[46],Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,†Nesiotites,,,†N. hidalgo,,,,,,,,
103,Balearic cave goat,Myotragus balearicus,"Gymnesian Islands, Spain",2830-2470 BCE,Likely vegetation changes related to aridification or human activity.[58][59],Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,,,C. moriorum,,,,,,,,
104,Bennu heron,Ardea bennuides,Arabian Peninsula,2550 BCE,Wetlanddegradation.[14],Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,,,C. moriorum,,,,,,,,
105,Niue night heron,Nycticorax kalavikai,Niue,2550-1550 BCE,Undetermined.[14],Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,,,C. moriorum,,,,,,,,
106,Hispaniola monkey,Antillothrix bernensis,Hispaniola,2508-2116 BCE,Undetermined.[60],Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,,,C. moriorum,,,,,,,,
107,Small Hispaniola ground sloth,Neocnus comes,Hispaniola,2483-2399 BCE,Undetermined.[6],Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,,,C. moriorum,,,,,,,,
108,Larger Cuban ground sloth,Megalocnus rodens,Cuba,2280-2240 BCE,Undetermined.[61],Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,,,C. moriorum,,,,,,,,
109,Chatham raven,Corvus moriorum,"Chatham Islands, New Zealand",2134-1408 BCE,Undetermined.[14],Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,,,C. moriorum,,,,,,,,
110,New Caledonian terrestrial crocodile,Mekosuchus inexpectatus,New Caledonia and Isle of Pines,1950-1050 BCE,Hunting.[62],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
111,Sumba Island,Raksasamys tikusbesar,"Sumba Island,Indonesia",1935-1700 BCE,Undetermined.[18],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
112,Indian aurochs,Bos primigenius namadicus,Indian Subcontinent,1800 BCE,Undetermined.Domestic descendantssurvive in captivity and asferalpopulations.[63],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
113,Woolly mammoth,Mammuthus primigenius,Northern Eurasia and North America,1795-1675 BCE,Hunting[66]and habitat loss due to climate change.[27],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
114,Short-horned water buffalo,Bubalus mephistopheles,"South,central, andeast China[36]",1750-1650 BCE,Undetermined.[67],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
115,Puerto Rican ground sloth,Acratocnus odontrigonus,Puerto Rico,1738-1500 BCE,Undetermined.[14],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
116,Christensen's pademelon,Thylogale christenseni,New Guinea,1738-1385 BCE,Undetermined.[14],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
117,Hawaiian eagle,Haliaeetus sp.,"Hawaii, United States",1581 BCE,"Possibly deforestation, loss of prey, and predation of chicks by introduced rats and pigs.[53]",Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
118,New Caledonian giant megapode,Sylviornis neocaledoniae,"Grande TerreandIsle of Pines,New Caledonia",1500 BCE,Hunting.[69],Animalia,Chordata,Mammalia,Rodentia,Muridae,Papagomys,,,P. theodorverhoeveni,,,,,,,,
