,Conservation Status,Locations,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Color,Skin Type,Top Speed,Lifespan,Weight,Length,Age of Sexual Maturity,Age of Weaning,Distinctive Feature,Temperament,Training,Type,Litter Size,Predators,Height,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Water Type,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Origin,Favorite Food,Migratory,Optimum pH Level,Special Features,Water type,Optimum PH Level
497,Least Concern,"('Africa', 'Asia', 'Eurasia')",Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,Merops orientalis,,,,80% of its diet consists of honeybees,,,,,,Grasslands and open forests,Omnivore,,Solitary,Green Bee-Eater,,,Mainly eats honeybees!,,BrownYellowBlueBlackWhiteGreenOrange,Feathers,26 mph,12 - 18 years,15g - 20g (0.5oz - 0.7oz),,,,Long curved beak and bright green plumage,,,Bird,,"Eagles, Storks, Raptors",16cm - 18cm (6.2in - 7in),29-49cm (11.4-19.3in),14-22 days,,4,"Honeybee, Bees, Flying Insects",,,,,,,,,,,,
498,Least Concern,North-America,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates clamitans,,Tadpole,Solitary,Green frogs will eat any animal that they can fit in their mouth.,"1,000,000","Water pollution, loss of habitat",prominent dorsolateral ridges,"Lithobates clamitans, Rana clamitans",4-14 days to hatch,"Swamps, ponds, Lakes, and marshes",Carnivore,,,Green frog,2,"Eastern North America, Canada",,,BrownBlueGreen,Permeable,10 mph,6 years,28-85 g (0.99-3.00 oz),5‚Äì10 cm (2.0‚Äì3.9 in),1 year,N/A,,,,Amphibian,,"Humans, larger frogs, turtles, snakes, birds, raccoons, and otters",6-9 cm (2.4 to 3.5 in),,,,,"Insects, fish, small snakes, slugs, and snails",Fresh,,"1,000-1,500 eggs annually",,,,,,,,,
499,Least Concern,"('North-America', 'Oceania')",Animalia,Chordata,Amphibia,Anura,,,,"Flies, mosquitoes, crickets, moths and other small insects",Tadpole,Social,Green tree frogs breathe through their skin,Unknown,Habitat destruction; air pollution,"They‚Äôre amphibians, but they live in trees",The Australian green tree frog is also known as White‚Äôs tree frog or dumpy tree frog,,Forested wetlands and marshlands,Carnivore,,,,2,Australia and North America Southeast Asia,,,Green,Permeable,,"With proper care, members of the Australian species can live 15 years in terrariums. The typical lifespan of the American species in captivity is six years.",A few ounces,Members of the Australian species measure 4 inches long on average; members of the American species measure 2.5 inches long on average,2 years,,,,,Amphibian,,Birds and snakes,,,,,,,,,,,,,,,,,,
500,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The Greenland Dog can live in temperatures as cold as -35 to -75 degrees Fahrenheit.,,,,,,,Omnivore,,,Greenland Dog,,,Strong and speedy breed of dog!,,GreyBlack,Hair,,12 years,30kg (66lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Vulnerable,Ocean,Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,Somniosus,Somniosus microcephalus,"Smaller sharks and small whales, herring, cod and other fish, seals and squid.",Pup,Largely solitary,This shark has the longest lifespan of any vertebrate.,Several thousand,"Climate change, overfishing",Their great age.,"Gurry, eqalussuaq, grey shark, sleeper shark",Eight to 18 years,"Deep, cold, waters of the North Atlantic and the Arctic Oceans.",Carnivore,,,Greenland Shark,1,"Canada, Greenland, Iceland",,School or shiver,GreyBlack-Brown,Rough,-0.24 mph,250 to 500 years,2200 pounds,21 feet,150 years,,,,,Fish,10,Humans,,,,,,,,,,,,,"Greenland shark food includes fish, marine mammals and carrion.",,,,,
502,Least Concern,Africa,Animalia,Chordata,Mammalia,Primates,Cheirogaleidae,Microcebus,Microcebus murinus,,,,,,,,,,Tropical Woodland,Omnivore,2,Solitary,,,,The largest species of mouse lemur!,,BrownGreyBlackWhite,Fur,20 mph,3 - 8 years,58g - 67g (2oz - 2.4oz),25cm - 28cm (9.8in - 11in),,,Small body size and large eyes,,,Mammal,,"Owls, Snakes, Fossa",,,,,,"Insects, Fruits, Flowers",,,,,,,Insects,,,,,
503,Near Threatened,Ocean,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus Amblyrhynchos,,,,,,,,,,Warm waters and coral reefs,Carnivore,4,Solitary,,,,One of the most common shark species!,,GreyBlackWhite,Smooth,25 mph,22-28 years,20-30kg (44-66lbs),,,,,,,Fish,,"Human, Larger sharks",,,,,,"Fish, Crab, Squid",,,,,,,Fish,,,,,
504,Near Threatened,Ocean,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Halichoerus,Halichoerus Grypus,,,,,,,,,,Cool waters and rocky shores,Carnivore,1,Herd,,,,One of the rarest species of seal on Earth,,GreyTan,Smooth,6 mph,18-25 years,150-300kg (330-660lbs),,,,,,,Mammal,,"Human, Sharks, Killer Whale",,,,,,"Fish, Squid, Sandeels",,,,,,,Fish,,,,,
505,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,,Omnivore,,,Greyhound,,,Extremely fast and athletic!,South,,Hair,,11 years,32kg (70lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,Griffonshires are so little they are easily mistaken for puppies throughout their lives.,,,,,,,Omnivore,,,,,,,,BrownBlueBlackCream,Hair,,10-15 years,10 lbs,,,,,Lively and smart,,,,,,,,,,,,,,,,,,,,,,
507,Endangered,North-America,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus Arctos Horriblis,,,,,,,,,,Forest and mountainous regions,Omnivore,2,Solitary,,,,Less than 10% make it into adulthood,,BlackDark Brown,Fur,35 mph,15 - 25 years,160kg - 225kg (353lbs - 500lbs),,,,"Strong, powerful shoulders and enormous claws",,,Mammal,,"Human, Cougars",2.1m - 3m (7ft - 10ft),,,,,"Salmon, Fruit, Fish",,,,,,,Salmon,,,,,
508,Least Concern,North-America,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota monax,,pups,Social,They whistle to each other to warn of approaching danger!,Over 200 million,"Carnivores, humans","their four long, sharp incisors","Woodchuck, whistlepig",32 days,"Forest, woodlands, suburban gardens",Omnivore,,,"Groundhog, Woodchuck",12,United States and Canada,,,BrownGrey,Fur,10 mph,"6 years in the wild, 14 in captivity",10 to 13 pounds,2 feet,2 years,6 weeks,,,,rodent,2 to 6,"Coyotes, badgers, bobcats, foxes", 1 ¬Ω to 2 feet,,,,,,,,,,,,,,,,,
509,Least Concern,Europe,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tetraoninae,Tetraoninae,,,,,,,,,,"Forest, shrubland and grassy plains",Omnivore,,Flock,,,,Feathered legs and toes!,,BrownYellowRedBlueBlackWhiteGreen,Feathers,6 mph,1 - 10 years,0.3kg - 6.5kg (0.6lbs - 14lbs),31cm - 95cm (12in - 37in),,,Long tail feathers and feathered legs and toes,,,Bird,,"Fox, Lynx, Birds Of Prey",,45cm - 101cm (22in - 40in),,,8,"Insects, Nuts, Seeds, Berries",,,,,,,Insects,,,,,
510,Least Concern,Africa,Animalia,Chordata,Aves,Galliformes,Numididae,,,,,,The guinea fowl is a family of ground-feeding birds that resembles a turkey or a pheasant.,,,,,,"Forest, desert and grasslands",Omnivore,,Flock,Guinea Fowl,,,Found in a vairety of African habitats!,,BrownGreyYellowRedBlackWhite,Feathers,22 mph,10 - 20 years,0.7kg - 1.6kg (1.5lbs - 3.5lbs),40cm - 71cm (16in - 30in),,,Large body size and bald neck,,,Bird,,Large Mammals and Reptiles,,59-71 inches,4 weeks,,12,"Insects, Worms, Berries",,,,Covered ground area,About 10 weeks,,Insects,,,,,
511,Least Concern,South-America,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,Cavia porcellus,"Grass, Seeds, Flowers",Pup,Herd,"Communicate using chirps, squeaks and burbles!",Unknown,Habitat loss and hunting,Four large front teeth,"Cavy, Little Pig",58 - 72 days,Grassland and mountain slopes,Herbivore,4,Diurnal,Guinea Pig,5,South America,Natively found in the Andes Mountain range!,Mammal,BrownGreyBlackWhiteOrange,Fur,5.5 mph,3 - 8 years,0.5kg - 1.5kg (1lbs - 3.5lbs),20cm - 40cm (8in - 16in),3 months,3 weeks,,,,,,,,,,,,,,,,,,,,,,,,
512,Least Concern,"('Central-America', 'South-America')",Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia reticulata,"Algae, plant particles, mosquito larvae",,School,Guppies give live birth to their young,,Water pollution,,"Rainbow fish, millionfish",3-4 weeks,"Streams, shallow pools near bigger bodies of water",Omnivore,,,Guppy,276,,Also known as the Millionfish!,,YellowRedBlueBlackWhiteGreenOrangeMulti-colored,Scales,,2 years,Less than 1 gram,0.6 - 2.4 inches,,,Brightly coloured body and fins and give birth to live young,,,Cyprinodontiformes,,"Birds, larger fish",,,,,80,,Fresh,,,,,,Algae,,5.0 - 7.0,,,
513,Vulnerable,Ocean,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Melanogrammus, Melanogrammus aeglefinus,"Worms, sea stars, urchins, sand dollars, mollusks, crustaceans, fish, and eggs",,School,The haddock is very popular in both recreational and commercial fishing,,Overfishing,The black ‚Äúthumbprint‚Äù on the sides of the body,,1 to 3 weeks,,Carnivore,,,Haddock,1,North Atlantic Ocean,,,RedBlackPurple,Scales,,10 years or more,2-40 pounds,30 cm-91 cm (1 ft-3 ft),,,,,,Ray-in fish,,"Skates, dogfish, cods, halibuts, and seals",,,,,,,Salt,,,,,,,,,,,
514,Data Deficient,Ocean,Animalia,Chordata,Myxini,Myxiniformes,Myxinidae,,,Bottom-dwelling invertebrates,,Solitary,Can use slime to suffocate marine predators or escape capture,Unknown,Harvesting for leather and food,Slime,"Slime eel, slimy eel",,Every ocean,Carnivore,,,Hagfish,82,,,,GreyPink,Smooth,,40 years,0.85-1.4 kg (1.8-3.1 lb),4cm (1.6in)-81.28cm (32in),,,,,,Vermiform,,"Birds, mammals",,,,,,,Salt,,,,,,,,,,,
515,Near Threatened,Ocean,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Sphyrnidae,,Sphyrnidae,"crustaceans, fish, cephalopods, stingrays",,Solitary/School,They have a 360 field of view,Unknown,"Overfishing, shark culling",Hammer-shaped head,sphyrnids,10-12 months,"coastal, continental shelves",Carnivore,26,Herd,hammerhead shark,10,,Found in coastal waters around the world!,,BrownGreyWhiteGreen,Skin,20 mph,20-30 years,300lbs-1000lbs,0.9m-6.1m (3ft-20ft),,,,,,sphyrnids,,"Tiger Shark, Great White Shark, Killer Whale, Humans",,,,,,,Salt,,,,,,Fish,,,,,
516,Least Concern,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Chordata,Mammalia,Rodentia,Cricetidae,,,,,,Able to run as quickly backwards as forwards!,,,,,,Dry deserts and sand dunes,Omnivore,8,Solitary,,,,Able to run as quickly backwards as forwards!,,BrownBlackWhiteTan,Fur,4 mph,2-3 years,100-900g (3.5-32oz),,,,,,,Mammal,,"Owl, Hawk, Snakes",,,,,,"Seeds, Nuts, Berries",,,,,,,Seeds,,,,,
517,Least Concern,Ocean,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,Phoca vitulina,Aquatic animals and ducks,Pup,Solitary/Group,Harbor seals can dive as deep as 1400 feet,"350,000 to 500,000","Human activity, including hunting and pollution of habitat","Their whiskers. Unlike other mammals, whose whisker follicles have two blood sinuses, the harbor seal‚Äôs whiskers have three.","Common seal, Western Atlantic common seal, Eastern Atlantic common seal, Ungava or Lacs des Loups Marins seal, Pacific common seal, Insular seal",About nine months,"Coastal waters of the Pacific and Atlantic Oceans, the Baltic Sea and the North Sea",Carnivore,,,Harbor seal,5,"Western Asia, eastern Asia, Europe and North America",,,BrownGreyWhiteTan,Fur,12 mph,"30 to 35 years for females, 20 to 25 years for males",370 pounds,6.1 feet,"3.72 years for females, 4 to 5 years for males",Four to six weeks,,,,Mammal,1,"Humans, sharks, polar bears, wolves, coyotes, killer whales",,,,,,,,,,,,,"Fish, crustaceans, mollusks, ducks",,,,,
518,Least Concern,Ocean,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae,Ariopsis,Ariopsis felis,"Algae, sea grasses, sea cucumbers, shrimp, crabs, gastropods, and fish",,School,The hardhead catfish has a sharp spine near its fin to inject venom,,Habitat changes,The six long whiskers near the mouth,"Saltwater catfish, sea catfish, and tourist trout",30 days,Oceans and estuaries,Omnivore,,,Hardhead Catfish,-2,,,school,BrownBlueWhiteSilver,Skin,,5 ‚Äì 8 years,1-12 pounds,12-27 inches,,,,,,ray-finned fish,,,,,,,,,,,,,,,,,8,,,
519,Near Threatened,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus,,,,,,,,,,Dense vegetation and open fields,Herbivore,6,Solitary,,,,Can reach speeds of over 40 mph!,,BrownBlackWhiteTan,Fur,45 mph,2-8 years,1-5.5kg (3-12lbs),,,,,,,Mammal,,"Owl, Hawk, Coyote",,,,,,"Grass, Fruit, Seeds",,,,,,,Grass,,,,,
520,Least Concern,Ocean,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Pagophilus,Pagophilus groenlandicus,Fish and marine invertebrates,Pups,Solitary/Colony,"The harp seal can migrate up to 3,000 miles every year",Up to 7.6 million,Climate change,The harp-shaped black mark on the back,Saddleback seal or Greenland seal,11.5 months,Oceans and ice packs,Carnivore,,,Harp Seal,1,North Atlantic and Arctic Oceans,,,GreyBlackWhite,Fur,,,120-135kg (260-300lbs),1.5-2m (5-6.5ft),5.5 years,10 to 12 days,,,,Mammal,1,"Killer whales, polar bears, walruses, and sharks",120-135kg (260-300lbs),,,,,,,,,,,,,,,,,
521,Near Threatened,"('Central-America', 'South-America')",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Harpia,Harpia harpyja,,Chicks or hatchlings,Small families,One of the largest eagle species in the world!,Unknown,,Crown of feathers,American Harpy Eagle,,Lowland rainforests,Carnivore,,,Harpy Eagle,,Central and South America,Talon's the size of a grizzly bear's claws!,Birds,BlackWhite,Feathers,50 mph,25 to 35 years in the wild,5kg - 9kg (11lb - 20lbs),89cm - 102cm (35in - 40in),4 or 5 years,,,,,,,Other harpy eagles,,2m (6.5ft),,,,,,,,,,,"Sloths, monkeys, lizards, rodents, small deer, and birds",,,,,
522,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,Harriers used to be called hare hounds as they were originally bred to hunt hares.,,,,,,,Omnivore,,,Harrier,,,"Cheerful, tolerant and sweet-tempered!",Hound,,Hair,,10 ‚Äì 12 years,27kg (60lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Not Listed,Central-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"Havanese dogs are known to be overly attached to their owner families, often bonding with young children and older adults alike",,,,,,,Omnivore,,,Havanese,,,These are the only dogs that are native to Cuba,Toy,,Hair,,15 years,13lbs,,,,,,,,,,,,,,,,,,,,,,,,,,Saltwater,
524,Endangered,North-America,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Neomonachus,Neomonachus schauinslandi,"Fish, lobster, crab, octopus and squid",Pup,Mainly solitary,"Hawaiian name is ""Ilio-holo-i-ka-uaua,"" meaning ""the dog which runs in rough waters.",1400,Habitat loss,Folds of skin around neck that look like a monk's robe,"Ilioholokauaua (the dog which runs in rough waters), na mea hulu (the furry one) and iliokai (seadog)",9 months,Northwestern Hawaiian Islands' waters and beaches,Carnivore,,,Monk seal,2,Northwestern Hawaiian Islands,,colony or rookery,GreyWhite,Fur,5 mph,30 years,,7-8 feet,4 years,1.5 months,,,,Mammal,1,Sharks,,,,,,,,,,,,Hawaiian inslands,,,,,,
525,Least Concern,"('Africa', 'Asia', 'Eurasia', 'Europe')",Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,,,,,,Thought to be one of the oldest mammals on Earth!,,,,,,Dense vegetation and woodland,Omnivore,5,Solitary,,,,Thought to be one of the oldest mammals on Earth!,,BrownGreyTan,Spikes,12 mph,3-6 years,1-2kg (2.2-4.4lbs),,,,,,,Mammal,,"Owl, Dog, Foxes",,,,,,"Insects, Worms, Seeds",,,,,,,Insects,,,,,
526,Near Threatened,"('Central-America', 'South-America')",Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Dynastes,Dynastes hercules,,Larva or grub,Mainly solitary,This dynastine scarab beetle makes a weird huffing sound when it‚Äôs disturbed.,"Unknown, but the beetle does not have special conservation status.",Habitat destruction and pollution,,,30 days,Rainforests of the mountains and lowlands,Herbivore,100,,Hercules Beetle,10,South and Central America and the Lesser Antilles,,,YellowBlackGreen,Exoskeleton,8.9 mph,"Two and a half years, in total","1.2 ounces for male, 0.57 ounces for female","Average 2.43 inches for females, 3 inches for male plus horns longer than body. There have been rumors of a male that was 7.09 inches long.",15 to 22 months,,"Hard, armoured shell and horn-like pincers",,,Insect,100,"Bats, Rats, Birds",,,,,,,,,,,,,Decaying wood,,,,,
527,Near Threatened,Ocean,Animalia,Arthropoda,Malacostraca,Decapoda,Paguroidea,,Paguroidea,,,,,,,,,,Coastal waters,Omnivore,200,,Hermit Crab,500,Worldwide,There are over 500 different species!,,BrownYellowRedBlueWhiteGreenOrangePink,Shell,,,200-500g (7-18oz),,,,,,,,,"Fish, Sharks, Cuttlefish",,,,,,"Fish, Worms, Plankton",,,,,,,Fish,,,,,
528,Least Concern,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,,,,,,"The heron has a long, curved neck in the shape of an S",,,,,,Wetland regions,Carnivore,,Solitary,,,,Inhabits wetlands around the world!,,BrownGreyBlackWhite,Feathers,40 mph,15 - 20 years,1.5kg - 3kg (3.3lbs - 6.6lbs),,,,Long thin legs and pointed beak,,,Bird,,"Fox, Mink, Raccoon",85cm - 140cm (34in - 55in),Up to 91in,A month,,,"Fish, Insects, Molluscs",,,,"Bushes, cliffs, or trees",2-3 months,,Fish,1,,,,
529,Vulnerable,Ocean,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,,"Zooplankton, phytoplankton",,School,"People enjoy the taste of the oily fish in many different ways including pickled, smoked, salted, dried and fermented.",Variable and depending on species,Overfishing,Huge schools,"Silver darlings, silver of the sea",11-40 days depending on water temperature,Temperate waters,Carnivore,,,Herring,200,,,,Silver,Scales,-3 mph,8-22 years depending on species and location,0.41-1.05kg (0.90-2.3lb),10.5-60cm (4.1-23.6in),,,,,,"Vertebrate, Clupeoid",,"Seabirds, marine mammals, predatory fish, fishermen",,,,,,,Salt,,,,,,,,,,,
530,Least Concern,"('Europe', 'North-America', 'Oceania')",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos Taurus,,,,,,,,,,Mountainous and wet grasslands,Herbivore,1,Herd,,,,Natively found in the Scottish Highlands!,,BrownTanOrange,Hair,25 mph,15-22 years,"400-1,000kg (882-2,204lbs)",,,,,,,Mammal,,"Human, Wolf, Coyote",,,,,,"Grass, Leaves, Flowers",,,,,,,Grass,,,,,
531,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,"When you cross a Persian feline and a Siamese feline, you get the beautiful Himalayan.",,,,"Himalayan Persian, or Colourpoint Persian",,,Omnivore,4,,Himalayan,,,Also known as the Colourpoint Persian!,Longhair,FawnBlueWhiteCreamChocolate,Hair,,9-to-15 years,7-to-12 pounds,,,,,"Easy-going, calm and playful",,,,,,,,,,,,,,,,,,,,,,
532,Vulnerable,Africa,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,Hippopotamus amphibius,"Grasses, Grain, Flowers",Calf,Herd,Has pink anti-bacterial sweat!,"150,000",Hunting and habitat loss,"Ears, eyes and nostrils on top of the head","Common Hippopotamus, Water Horse",240 days,"Lakes, rivers and wetlands",Herbivore,1,Nocturnal,Hippopotamus,1,Sub-Saharan Africa,Has pink anti-bacterial sweat!,Mammal,BrownGreyBlackPink,Leather,30 mph,40 - 50 years,"1tonne - 4.5tonnes (2,200lbs - 9,900lbs)",2m - 5m (6.5ft - 16.5ft),6 - 14 years,18 months,,,,,,,,,,,,,,,,,,,,,,,,
533,Least Concern,North-America,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus cinereus,Insects,Pups,Solitary/Group,The hoary bat travels hundreds of miles south for the winter,Unknown,Habitat loss,The white-tipped fur,None,Unknown,Forests and trees,Carnivore,,,Hoary Bat,1,The Americas,,,BrownGreyYellowBlackWhite,Hair,13 mph,6-7 years,20-35g (1oz),43cm (17in) with wings extended,About a year,34 days,,,,Mammal,1-4 pups,"Hawks, owls, kestrels, and snakes",13-15cm (5-6in),,,,,,,,,,,,,,,,,
534,Near Threatened,Central-America,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Ectophylla,Ectophylla alba,,Pup,Colony,The bat only eats figs.,"Unknown, but declining",Habitat loss,Its all white fur,Caribbean white tent-making bat,Three weeks,,Omnivore,,,White bat,,Central America,,,YellowWhite,Fur,20 mph,"Unknown, but related species have been known to live between seven and 18 years in nature.",.20 ounces,"1.46 to 1.85 inches, with 4-inch wingspan",35 days,20 days,,,,Mammal,One,,,,,,,,,,,,,,Figs,,,,,
535,Least Concern,"('Africa', 'Asia')",Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mellivora,Mellivora Capensis,"Bees, Insects, Small Animals, Bulbs, Roots, Bird Eggs",Kit,,Most fearless animal on Earth!,Unknown,Humans,"Large, sharp claws",Ratel,6 Months,"Dry Areas, Grasslands, Forests",Omnivore,2,DiurnalCrepuscularor Nocturnal Depending on Region and Season,Honey Badger,1,"Africa, Asia, Indian Subcontinent",One of earth's bravest creatures!,Mammal,,Hair,,"7-8 years in the wild, 24 years in captivity",11 to 35 pounds,22 to 30 inches,1 to 2 Years,2 to 3 Months,,,,,,"Leopards, Spotted Hyenas, Pythons, Crocodiles",9.1 to 11 inches,,,,,,,,,,,,,,,,,
536,Endangered,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,,,,,There are only 8 recognized species!,,,,,,Sheltered forests and meadows,Herbivore,200,,Honey Bee,8,Worldwide,There are only 8 recognized species!,,BrownYellowBlack,Hair,,,,,,,,,,,,,,,,,,"Nectar, Pollen, Honey",,,,,,,Nectar,,,,,
537,Vulnerable,"('Europe', 'North-America')",Animalia,Chordata,Mammalia,Carnivora,Phocidae,Cystophora,Cystophora cristata,"Marine fish, shrimp and other crustaceans, octopus and squid.",Pup,Solitary,Hooded seal pups are called bluebacks because the color of the fur on their back is blue-gray. This pretty color made people want to make fur coats out of them and made them a target for hunters.,"650,000",Humans,The male‚Äôs inflatable ‚Äúhood‚Äù and red nose balloon.,"Cystophora borealis and Phoca cristata. The first means ‚Äúbladder-bearer of the north,‚Äù and the second means ""crested seal."" Also, bladdernose seal. Pups are called Blue-backs.",240 to 250 days.,Off the coasts of the Northern Atlantic and Arctic Oceans.,Omnivore,,,Hooded seal,1,"Around Labrador, Greenland, Norway, sometimes Maine and Alaska.",,,GreyBlueSilver,Fur,,35 years,352 to 661 pounds. Males are much heavier.,7 to 8 feet.,"2 to 9 years for females, 4 to 6 years for males.",5 to 12 days.,,,,Mammal,one,"Humans, killer whales, polar bears and Greenland sharks.",,,,,,,,,,,,,,,,,,
538,Least Concern,"('Africa', 'Asia', 'Europe')",Animalia,Chordata,Aves,Bucerotiformes,Upupidae,Upupa,,,Chicks or hatchlings,Largely solitary,The Hoopoe genus is the only living member of its family!,5-10 million,,Crest of feathers on the head,,,"Forests, plains, and savannas",Omnivore,,,Hoopoe,,"Europa, Asia, and Africa",Stunning bird with a stinky way to deter predators!,Birds,,Feathers,,Around 10 years in the wild,46g ‚Äì 89g (1.6oz ‚Äì 3.1oz),25cm - 32cm (10in ‚Äì 12.6in),A few months,,,,,,,,,44cm ‚Äì 48cm (17in - 19in),,,,,,,,,,,"Ants, grasshoppers, beetles, crickets, and other insects",,,,,
539,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,Horgis have a silly side and love to be the center of attention.,,,,,,,Omnivore,,,,,,,,FawnRedBlackCreamLight-Brown,Hair,,12 to 15 years,50 lbs,,,,,Active and social,,,,,,,,,,,,,,,,,,,,,,
540,Data Deficient,Ocean,Animalia,Chordata,Chondrichthyes,Heterodontiformes,Heterodontidae,Heterodontus,Heterodontus francisci,Fish and invertebrates,,Solitary,The horn shark has a tough exterior and sharp spines to protect itself.,Unknown,Accidental bycatch,The ridges along the eyes,,6-9 months,Kelp beds and rocks close to the shore,Carnivore,20,,Horn Shark,1,,Endemic to the Californian coast!,,BrownGreyYellowBlack,Smooth,,"12 years in captivity, perhaps 25 or even 50 years in the wild",20 pounds,70cm - 120cm (27.5in - 47in),,,,,,Shark,,"Sharks, seals, and eagles",,,,,,,Salt,,,,,,Molluscs,,07-‡Â‚,,,
541,Critically Endangered,"('Least Concern', 'Vulnerable', 'Africa', 'Asia', 'Oceania')",Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,,Bucerotidae,Fruits and insects,Chicks,Flock,The bird has a massive horn on its bill!,Varies by species,Habitat loss,The large bill and horn,,23-96 days,"Rainforests, woodlands and savannas",Omnivore,01-ÈÂÏ,,Hornbill,60,"The tropical regions of Africa, Asia and the Pacific Islands",,,GreyYellowRedBlueBlackWhiteOrange,Feathers,,40 years,13.6 lbs,63 inches,up to 6 years,,,,,Bird,01-ÈÂÏ,"Owls, eagles and humans",,,,,,,,,,,,,,,,,,
542,Least Concern,South-America,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Ceratophrys,Ceratophrys Ornata,,,,,,,,,,Rainforest and tropical swamplands,Carnivore,"1,500",Solitary,,,,Natively found in South America!,,BrownYellowWhite,Hair,5 mph,5-8 years,320-480g (11.2-17oz),,,,,,,Amphibian,,"Birds, Snakes, Bears",,,,,,"Worms, Roaches, Insects",,,,,,,Worms,,,,,
543,Not Evaluated,"('Central-America', 'North-America')",Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Phrynosoma,,"Ants, beetles, spiders, insects, and sometimes pebbles",Hatchlings,Solitary,The horned lizards are able to squirt blood from their eyes.,Not known,"Dogs, wolves, hawks, snakes, roadrunners, pesticides as well as human activities",Horns all over their bodies and also the crown of their heads,none,40 days,Desert like fine sand areas and dense forest areas.,Carnivore,,,Horned lizards,14,primarily North and Central America,,Solitary,BrownGreyYellowRed,Scales,,At least five years,25-90 grams (1.8-2.5 grams as a yearling),approximately 3.75 inches,13 months,,,,,Scaled reptiles,27 eggs,"Dogs, wolves, hawks, snakes, roadrunners",approximately 3.75 inches,,,,,,,,,,,,,,,,,
